Id,High School Type,State,unweighted GPA,weighted GPA,SAT Math,SAT Verbal,SAT Writing,SAT 1600,SAT 2400,ACT,Class Rank,Status,,
105,Public,CA,4,4.83,750,680,780,1430,2210,31,1 of 252,Accepted,,
106,Private,DC,3.71,3.34,600,600,610,1200,1810,,DR,Accepted,,
107,Public,VA,3.7,3.9,680,630,720,1310,2030,,DR,Accepted,,
108,Public,PA,3.3,3.7,700,730,690,1430,2120,,20 of 135,Will Attend,,
109,Public,GA,3.9,,700,720,610,1420,2030,33,12 of 282,Accepted,,
110,Public,IL,3.8,4.34,770,640,680,1410,2090,,DR,Accepted,,
111,Public,IL,3.8,4,,,,0,0,33,Top 10%,Denied,,
112,Public,MD,4,4.05,680,600,660,1280,1940,,Top 10%,Accepted,,
113,Public,TX,3.5,3.76,680,800,760,1480,2240,,Top 25%,Denied,,
114,Private,,3.78,4.3,800,570,620,1370,1990,,Top 10%,Denied,,
115,Private,,3.8,4.3,740,710,740,1450,2190,,8 of 422,Accepted,,
116,Public,GA,4,5,700,740,740,1440,2180,,2 of 350,Accepted,,
117,Public,PA,4,4.33,700,660,750,1360,2110,,9 of 112,Accepted,,
118,Public,MD,3.8,4.35,800,750,610,1550,2160,,35 of 520,Denied,,
119,Private,WA,3.55,3.8,720,690,640,1410,2050,28,DR,Accepted,,
120,Public,VA,3.7,4.22,800,740,780,1540,2320,,DR,Denied,,
121,Public,NJ,3.55,4.26,800,730,670,1530,2200,,DR,Accepted,,
122,Public,CA,4,4.6,770,760,730,1530,2260,,2 of 620,Accepted,,
123,Private,CA,3.62,3.87,770,740,750,1510,2260,,DR,Denied,,
124,Public,NY,4,,570,590,630,1160,1790,28,3 of 92,Denied,,
125,Public,KY,3.92,4.7,800,570,600,1370,1970,32,Top 10%,Accepted,,
126,Public,NY,3.2,3.6,770,630,690,1400,2090,,DR,Denied,,
127,Public,PA,3.6,4.12,670,730,660,1400,2060,31,25 of 350,Will Attend,,
128,Public,KY,3.65,4.5,800,710,680,1510,2190,,48 of 424,Accepted,,
129,Public,MD,3.75,4.13,660,700,700,1360,2060,,Top 10%,Accepted,,
130,Public,MO,3.76,3.98,600,800,680,1400,2080,30,20 of 304,Accepted,,
131,Public,MA,3.6,3.75,650,680,710,1330,2040,,Top 25%,Denied,,
132,Public,,4,,800,800,730,1600,2330,,Top 10%,Accepted,,
133,Public,NY,3.7,,750,640,700,1390,2090,30,DR,Accepted,,
134,Public,IN,3.96,,690,730,600,1420,2020,32,7 of 370,Denied,,
135,Private,OK,4,4.19,750,690,800,1440,2240,,Top 10%,Accepted,,
136,Private,,3.8,4.7,700,750,750,1450,2200,35,2 of 31,Accepted,,
137,Public,KS,4,4.43,760,670,670,1430,2100,30,7 of 450,Will Attend,,
138,Public,NY,3.8,4.1,660,640,740,1300,2040,,Top 10%,Will Attend,,
139,Public,TN,3.53,4.55,580,710,670,1290,1960,29,12 of 289,Accepted,,
140,Public,GA,3.87,3.97,640,700,660,1340,2000,30,14 of 296,Will Attend,,
141,Public,CA,3.75,4.25,630,790,600,1420,2020,,20 of 660,Accepted,,
142,Public,NJ,,3.71,670,600,600,1270,1870,,36 of 126,Denied,,
143,Parochial,IN,4,4.04,730,600,700,1330,2030,,,Accepted,,
144,Public,CT,3.5,3.6,760,640,610,1400,2010,,DR,Accepted,,
145,Public,CA,3.68,,670,670,800,1340,2140,,Top 25%,Denied,,
146,Public,NY,,,,,,0,0,30,Top 10%,Will Attend,,
147,Public,NY,3.9,4.6,700,700,,1400,1400,,DR,Accepted,,
148,Parochial,VA,4,4,660,760,630,1420,2050,,DR,Accepted,,
149,Private,MA,3.8,,700,680,680,1380,2060,32,DR,Accepted,,
150,Public,NJ,3.75,3.75,800,710,800,1510,2310,,Top 25%,Accepted,,
151,Public,CA,3.76,,700,760,720,1460,2180,35,Top 10%,Withdrawn,,
152,Public,OR,3.96,4.35,780,660,660,1440,2100,28,7 of 473,Accepted,,
153,Private,MD,4,4.41,710,700,700,1410,2110,,1 of 68,Denied,,
154,Public,RI,4,4.5,800,800,800,1600,2400,,2 of 248,Accepted,,
155,Public,WI,3.9,,730,760,700,1490,2190,33,10 of 205,Denied,,
156,Public,MA,3.9,4.56,720,800,800,1520,2320,,1 of 275,Accepted,,
157,Parochial,TX,3.4,3.6,,,,0,0,31,DR,Accepted,,
158,Public,CA,4,,,,,0,0,,,Will Attend,,
159,Public,IL,3.05,3.67,690,760,710,1450,2160,32,154 of 768,Denied,,
160,Public,CO,3.4,3.7,730,770,720,1500,2220,34,96 of 392,Denied,,
161,Private,,4,4.25,650,620,540,1270,1810,,2 of 53,Accepted,,
162,,NY,,,,,,0,0,32,,Will Attend,,
163,Public,NY,3.6,,770,680,640,1450,2090,,DR,Will Attend,,
164,Public,NY,3.96,,,,,0,0,32,DR,Denied,,
165,Public,CO,3.14,3.45,680,550,600,1230,1830,25,362 of 929,Denied,,
166,Public,CA,3.55,4.48,720,660,720,1380,2100,32,DR,Denied,,
167,Public,MO,3.9,,800,800,800,1600,2400,36,Top 25%,Accepted,,
168,Public,GA,,3.7,650,600,600,1250,1850,29,185 of 652,Denied,,
169,Private,NH,3.85,3.85,620,680,750,1300,2050,28,DR,Withdrawn,,
170,Public,WA,3.91,4.3,770,780,740,1550,2290,,20 of 500,Accepted,,
171,Public,TX,4,,680,630,740,1310,2050,,3 of 590,Denied,,
172,Public,MA,3.26,4.17,750,800,760,1550,2310,,DR,Will Attend,,
173,Public,NC,3.92,4.6,730,580,600,1310,1910,,5 of 175,Accepted,,
174,Public,CA,3.97,4.5,800,750,700,1550,2250,,Top 10%,Accepted,,
175,Public,MD,3.9,3.83,760,750,790,1510,2300,32,Top 10%,Accepted,,
176,Public,NJ,3.9,4.58,740,710,800,1450,2250,,Top 10%,Accepted,,
177,Public,FL,3.5,4.4,760,710,630,1470,2100,,42 of 717,Accepted,,
178,Public,NV,3.93,4.13,670,420,400,1090,1490,,11 of 59,Denied,,
179,Public,FL,3.72,4.99,,,,0,0,33,11 of 540,Denied,,
180,Public,IL,4,4.54,,,,0,0,30,4 of 502,Will Attend,,
181,Public,PA,4,4.4,780,760,800,1540,2340,,DR,Accepted,,
182,Public,AZ,3.57,4.04,780,740,680,1520,2200,33,1 of 430,Will Attend,,
183,Public,NJ,3.82,4.86,770,730,630,1500,2130,31,30 of 322,Denied,,
184,Public,IL,4,4.28,800,760,770,1560,2330,35,5 of 380,Will Attend,,
185,Public,PA,3.95,4.21,,,,0,0,32,5 of 120,Will Attend,,
186,Public,MA,4,5,650,730,710,1380,2090,30,2 of 175,Accepted,,
187,Public,MI,3.92,,620,660,700,1280,1980,30,13 of 143,Accepted,,
188,,NY,3.83,4.74,770,690,770,1460,2230,,40 of 420,Will Attend,,
189,Public,NY,4,4.07,750,720,740,1470,2210,,1 of 254,Accepted,,
190,Private,CT,3.8,,700,760,770,1460,2230,,DR,Accepted,,
191,Parochial,SC,4,,780,700,780,1480,2260,33,Top 10%,Accepted,,
192,Public,MN,3.93,4.2,760,700,770,1460,2230,31,34 of 623,Accepted,,
193,Parochial,NY,3.1,3.4,620,580,610,1200,1810,25,32 of 76,Denied,,
194,Public,CA,3.8,4.1,680,610,,1290,1290,29,30 of 604,Denied,,
195,Public,NY,3.75,,,,,0,0,,Top 10%,Will Attend,,
196,Private,OH,4,4,780,800,,1580,1580,35,1 of 5,Accepted,,
197,Private,CA,3.6,4.16,760,730,800,1490,2290,32,DR,Withdrawn,,
198,Parochial,MA,4,4.43,720,700,,1420,1420,,1 of 196,Accepted,,
199,Public,NJ,3.5,3.6,790,760,740,1550,2290,,Top 25%,Accepted,,
200,Public,CA,3.62,3.85,690,590,620,1280,1900,27,136 of 709,Denied,,
201,Public,MD,3.5,4.2,760,780,,1540,1540,,DR,Will Attend,,
202,Public,NY,3.96,4.13,720,590,790,1310,2100,31,Top 10%,Accepted,,
203,Public,TX,3.93,4.22,700,720,690,1420,2110,,2 of 27,Accepted,,
204,Public,NY,4,4.53,690,630,600,1320,1920,,10 of 700,Accepted,,
205,Public,PA,3.61,3.61,790,730,670,1520,2190,,23 of 123,Accepted,,
206,Private,RI,3.91,,710,690,750,1400,2150,,Top 10%,Accepted,,
207,Public,PA,3.65,3.95,710,700,640,1410,2050,,DR,Accepted,,
208,Private,,3.62,3.62,640,590,590,1230,1820,,DR,Denied,,
209,,NY,3.72,4.13,640,730,770,1370,2140,,38 of 319,Accepted,,
210,Parochial,SC,4,5,800,750,750,1550,2300,35,1 of 85,Accepted,,
211,Public,TX,3.8,4.12,,,,0,0,32,95 of 998,Accepted,,
212,Public,MA,3.8,4.57,690,690,730,1380,2110,,12 of 180,Denied,,
213,Public,NJ,4,4.69,800,660,760,1460,2220,,3 of 346,Accepted,,
214,Parochial,PA,4,4.27,640,680,720,1320,2040,,2 of 54,Denied,,
215,Public,MD,3.9,5,699,639,690,1338,2028,,1 of 223,Accepted,,
216,Public,FL,3.95,5,770,730,760,1500,2260,34,1 of 413,Denied,,
217,Public,GA,3.81,4.2,590,580,610,1170,1780,24,4 of 490,Accepted,,
218,Public,GA,3.81,4.16,690,800,710,1490,2200,,Top 10%,Accepted,,
219,Private,NJ,3.5,4,800,720,680,1520,2200,33,14 of 50,Denied,,
220,Public,IA,3.85,4.37,730,760,770,1490,2260,34,41 of 336,Denied,,
221,Public,NJ,3.5,4.3,,,,0,0,32,20 of 162,Will Attend,,
222,Public,CA,4,4.5,,,,0,0,32,Top 10%,Denied,,
